TYPEHUQ,CDD30YR,NUMFLRS,STUDIO,STORIES,BEDROOMS,NCOMBATH,OTHROOMS,TOTROOMS,PRKGPLC1,OUTGRILL,ICE,SIZFREEZ,DWASHUSE,TOPFRONT,WASHLOAD,RNSETEMP,DRYER,DRYRFUEL,TVCOLOR,TVONWE3,WELLPUMP,FUELHEAT,HEATROOM,WHEATOTH,CENACHP,MAINTAC,AGECENAC,ACROOMS,USECENAC,PROTHERMAC,TEMPHOMEAC,NUMCFAN,USECFAN,SWIMPOOL,NOUTLGTNT,WINDOWS,ELWARM,ELWATER,PGASHTWA,NHSLDMEM,HUPROJ,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,TOTALDOL,KAVALNG,OA_LAT
4,1033,-2,0,-2,3,1,2,5,-2,1,0,2,5,1,4,3,1,5,3,3,-2,5,5,1,-2,-2,-2,-2,-2,-2,-2,4,3,-2,-2,3,1,1,-2,7,0,1770,1180,472,22657,2408,-2,5
2,2731,-2,-2,10,2,1,2,4,0,0,0,-2,-2,-2,-2,-2,0,-2,1,-2,0,5,4,0,0,0,4,4,2,0,75,0,-2,0,1,3,1,1,-2,4,0,1323,1323,1323,14287,1769,-2,6
5,1931,6,0,-2,2,2,2,4,-2,0,0,-2,3,-2,-2,-2,0,-2,2,-2,-2,5,4,1,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,2,1,1,-2,1,0,1209,1209,907,8490,792,-2,11
2,951,-2,-2,10,3,1,2,5,0,0,0,-2,-2,1,3,3,1,1,2,-2,0,1,5,0,-2,-2,-2,-2,-2,-2,-2,1,2,0,1,3,0,0,1,2,-2,1518,1518,304,3305,949,1,0
2,1156,-2,-2,10,3,2,2,5,0,0,1,-2,-2,1,2,3,1,1,5,4,0,5,5,0,0,1,2,5,1,1,-2,1,1,0,1,4,1,0,1,9,-2,1155,1155,1155,8532,2007,3,3
2,3984,-2,-2,20,3,2,3,6,1,0,1,-2,2,1,2,3,1,5,4,1,0,5,6,0,0,0,2,6,3,1,76,5,1,0,1,4,1,1,-2,1,-2,2040,1640,1640,11649,1435,-2,29
5,116,4,0,-2,1,1,1,2,-2,0,0,-2,-2,-2,-2,-2,0,-2,1,-2,-2,5,2,1,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,1,0,1,1,0,693,693,0,4381,690,1,1
5,538,3,0,-2,2,2,2,4,-2,1,0,-2,3,1,2,3,1,5,2,-2,-2,5,3,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,1,0,2,2,0,1069,802,267,3070,574,3,0
5,3662,2,0,-2,2,2,2,4,-2,0,0,-2,2,1,2,2,1,5,2,-2,-2,-2,-2,1,0,1,3,4,3,0,68,1,2,-2,-2,2,0,0,1,3,0,947,0,947,9398,1588,3,0
2,2152,-2,-2,10,4,1,2,6,0,1,1,2,-2,1,4,3,1,5,4,3,0,1,6,0,0,0,6,5,3,0,72,1,3,0,0,4,0,0,1,5,0,1200,1200,1200,16186,2672,1,11
2,3264,-2,-2,20,3,2,3,6,1,0,0,-2,1,1,1,3,1,5,1,-2,0,5,3,0,1,0,3,3,1,0,-2,1,1,0,1,4,1,1,-2,1,0,2214,907,907,6618,866,-2,0
5,1112,5,1,-2,-2,1,1,1,-2,0,0,-2,-2,-2,-2,-2,0,-2,1,-2,-2,5,1,1,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,3,1,0,-2,2,0,517,517,517,4230,1116,3,4
2,2092,-2,-2,10,3,2,2,5,1,1,0,3,-2,2,2,2,1,5,1,-2,0,1,5,0,0,0,3,5,3,1,78,4,3,0,0,6,0,0,1,2,-2,2092,1842,1842,9728,1936,1,11
5,1146,5,0,-2,1,1,2,3,-2,0,0,-2,-2,-2,-2,-2,0,-2,2,-2,-2,1,3,1,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,3,0,0,2,1,0,452,452,151,2058,1811,2,4
2,1726,-2,-2,20,4,2,4,8,0,1,0,3,3,1,3,2,1,5,6,3,0,1,8,0,0,0,6,8,3,0,70,5,2,1,1,3,1,0,1,4,0,4620,3080,3080,27067,3418,1,7
2,828,-2,-2,20,3,1,7,10,0,1,1,-2,3,1,3,2,1,5,2,-2,0,1,5,0,-2,-2,-2,-2,-2,-2,-2,3,2,0,0,5,0,1,1,2,-2,3604,1802,1081,11226,2387,1,2
1,651,-2,-2,10,2,1,2,4,0,0,0,-2,3,1,2,2,1,5,1,-2,0,4,4,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,4,0,1,-2,1,-2,840,840,420,4475,1573,-2,3
4,695,-2,0,-2,1,1,2,3,-2,1,0,-2,-2,1,3,2,0,-2,2,-2,-2,1,3,0,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,3,0,0,2,2,0,694,694,0,3223,2415,3,3
2,829,-2,-2,10,3,2,3,6,1,1,0,2,3,1,3,3,1,1,2,-2,1,1,6,0,0,1,1,6,3,0,75,2,3,0,0,3,0,0,1,2,-2,2626,2301,1576,6842,1568,1,2
5,818,2,0,-2,1,1,2,3,-2,0,0,-2,-2,-2,-2,-2,0,-2,2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,2,0,0,2,1,1,375,125,375,2729,1291,3,3
5,4341,3,0,-2,1,1,2,3,-2,0,0,-2,-2,-2,-2,-2,0,-2,1,-2,-2,5,3,1,0,1,4,3,1,1,-2,0,-2,-2,-2,2,1,0,2,2,0,680,680,680,3303,631,3,18
4,756,-2,0,-2,3,1,3,6,-2,0,0,-2,-2,-2,-2,-2,0,-2,0,-2,-2,3,5,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,4,0,1,-2,3,0,1125,938,0,7376,5030,3,2
