Var1,Var2,Corr,Target,Variables,Correlation,abs(Correlation)
UGWATER,PGASHTWA,0.9729757447349611,KWH,PGASHTWA,-0.35775952136702627,0.35775952136702627
USECENAC,USECENAC,1.0,KWH,USECENAC,0.45814798408956986,0.45814798408956986
USECFAN,USECFAN,1.0,KWH,USECFAN,0.31079232352766073,0.31079232352766073
USENG,USENG,1.0,KWH,USENG,-0.33147257949802156,0.33147257949802156
USENG,PERIODNG,0.9155432861872989,KWH,PERIODNG,-0.35626866612982755,0.35626866612982755
USENG,SCALENG,0.9242346402251878,KWH,SCALENG,-0.35634924934051826,0.35634924934051826
USENG,KAVALNG,0.9210449267965423,KWH,KAVALNG,-0.3593546300099876,0.3593546300099876
VCR3,VCR3,1.0,KWH,VCR3,0.3268460838090407,0.3268460838090407
VCR3,DIGITSTB3,0.9655643909387926,KWH,DIGITSTB3,0.3277784051239616,0.3277784051239616
VCR3,DVD3,0.9543230651778211,KWH,DVD3,0.3309321400617885,0.3309321400617885
VCR3,TVSIZE3,0.9361920414725748,KWH,TVSIZE3,0.33152638910470067,0.33152638910470067
VCR3,OTHERSTB3,0.9818027333534091,KWH,OTHERSTB3,0.3343430128248828,0.3343430128248828
VCR3,TVTYPE3,0.9408555041692089,KWH,TVTYPE3,0.3369300194568894,0.3369300194568894
VCR3,TVAUDIOSYS3,0.9776826610135906,KWH,TVAUDIOSYS3,0.3376117380030624,0.3376117380030624
VCR3,COMBOVCRDVD3,0.9653541408822766,KWH,COMBOVCRDVD3,0.3381145292516945,0.3381145292516945
VCR3,TVONWD3,0.9326462573862633,KWH,TVONWD3,0.33901316747118193,0.33901316747118193
VCR3,CABLESAT3,0.9312857853986366,KWH,CABLESAT3,0.3400536885629924,0.3400536885629924
VCR3,PLAYSTA3,0.9599397041637978,KWH,PLAYSTA3,0.3401636520462704,0.3401636520462704
VCR3,TVONWE3,0.9314866915760077,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
WASHLOAD,WASHLOAD,1.0,KWH,WASHLOAD,0.44593828449581047,0.44593828449581047
WELLPUMP,WELLPUMP,1.0,KWH,WELLPUMP,0.40534139322052465,0.40534139322052465
WHEATOTH,WHEATOTH,1.0,KWH,WHEATOTH,-0.336466015637626,0.336466015637626
WINDOWS,WINDOWS,1.0,KWH,WINDOWS,0.3124686452406085,0.3124686452406085
